Feature 115 from 'pub:WHSE_BASEMAPPING.TRIM_WATER_POINTS', located at approximately 48.9120°N, -125.5145°W. fcode: GE94850000 | elevation: 4 | rotation: 0 | admit year: 0 | admit mnth: 0 | admit day: 0 | asrc year: 0 | asrc mnth: 0 | asrc day: 0 | admit rfc: additionNew | retir year: 0 | retir mnth: 0 | retir day: 0 | rsrc year: 0 | rsrc mnth: 0 | rsrc day: 0 | x level: levelOne | x reason: AA | x capture: photogrammetric | bcgs tile: 092C093 | source id: 092C093TWTR52
Feature 126 from 'pub:WHSE_BASEMAPPING.TRIM_WATER_POINTS', located at approximately 48.9172°N, -125.5255°W. fcode: GE94850000 | elevation: 5 | rotation: 0 | admit year: 0 | admit mnth: 0 | admit day: 0 | asrc year: 0 | asrc mnth: 0 | asrc day: 0 | admit rfc: additionNew | retir year: 0 | retir mnth: 0 | retir day: 0 | rsrc year: 0 | rsrc mnth: 0 | rsrc day: 0 | x level: levelOne | x reason: AA | x capture: photogrammetric | bcgs tile: 092C093 | source id: 092C093TWTR39
Feature 147 from 'pub:WHSE_BASEMAPPING.TRIM_WATER_POINTS', located at approximately 48.9359°N, -125.5702°W. fcode: GE94850000 | elevation: 4 | rotation: 0 | admit year: 0 | admit mnth: 0 | admit day: 0 | asrc year: 0 | asrc mnth: 0 | asrc day: 0 | admit rfc: additionNew | retir year: 0 | retir mnth: 0 | retir day: 0 | rsrc year: 0 | rsrc mnth: 0 | rsrc day: 0 | x level: levelOne | x reason: AA | x capture: photogrammetric | bcgs tile: 092C093 | source id: 092C093TWTR8
Feature 69 from 'pub:WHSE_BASEMAPPING.TRIM_WATER_POINTS', located at approximately 48.9201°N, -125.4894°W. fcode: GE94850000 | elevation: 5 | rotation: 0 | admit year: 0 | admit mnth: 0 | admit day: 0 | asrc year: 0 | asrc mnth: 0 | asrc day: 0 | admit rfc: additionNew | retir year: 0 | retir mnth: 0 | retir day: 0 | rsrc year: 0 | rsrc mnth: 0 | rsrc day: 0 | x level: levelOne | x reason: AA | x capture: photogrammetric | bcgs tile: 092C093 | source id: 092C093TWTR101
Feature 9 from 'pub:WHSE_BASEMAPPING.TRIM_WATER_POINTS', located at approximately 48.8978°N, -125.4659°W. fcode: GE94850000 | elevation: 1 | rotation: 0 | admit year: 0 | admit mnth: 0 | admit day: 0 | asrc year: 0 | asrc mnth: 0 | asrc day: 0 | admit rfc: additionNew | retir year: 0 | retir mnth: 0 | retir day: 0 | rsrc year: 0 | rsrc mnth: 0 | rsrc day: 0 | x level: levelOne | x reason: AA | x capture: photogrammetric | bcgs tile: 092C083 | source id: 092C083TWTR5
Feature 128 from 'pub:WHSE_BASEMAPPING.TRIM_WATER_POINTS', located at approximately 48.9217°N, -125.5298°W. fcode: GE94850000 | elevation: 4 | rotation: 0 | admit year: 0 | admit mnth: 0 | admit day: 0 | asrc year: 0 | asrc mnth: 0 | asrc day: 0 | admit rfc: additionNew | retir year: 0 | retir mnth: 0 | retir day: 0 | rsrc year: 0 | rsrc mnth: 0 | rsrc day: 0 | x level: levelOne | x reason: AA | x capture: photogrammetric | bcgs tile: 092C093 | source id: 092C093TWTR38
Feature 137 from 'pub:WHSE_BASEMAPPING.TRIM_WATER_POINTS', located at approximately 48.9301°N, -125.5503°W. fcode: GE94850000 | elevation: 3 | rotation: 0 | admit year: 0 | admit mnth: 0 | admit day: 0 | asrc year: 0 | asrc mnth: 0 | asrc day: 0 | admit rfc: additionNew | retir year: 0 | retir mnth: 0 | retir day: 0 | rsrc year: 0 | rsrc mnth: 0 | rsrc day: 0 | x level: levelOne | x reason: AA | x capture: photogrammetric | bcgs tile: 092C093 | source id: 092C093TWTR27
Feature 18 from 'pub:WHSE_BASEMAPPING.TRIM_WATER_POINTS', located at approximately 48.8987°N, -125.4325°W. fcode: GE94850000 | elevation: 1 | rotation: 0 | admit year: 0 | admit mnth: 0 | admit day: 0 | asrc year: 0 | asrc mnth: 0 | asrc day: 0 | admit rfc: additionNew | retir year: 0 | retir mnth: 0 | retir day: 0 | rsrc year: 0 | rsrc mnth: 0 | rsrc day: 0 | x level: levelOne | x reason: AA | x capture: photogrammetric | bcgs tile: 092C083 | source id: 092C083TWTR21
Feature 165 from 'pub:WHSE_BASEMAPPING.TRIM_WATER_POINTS', located at approximately 48.9565°N, -125.6059°W. fcode: GE94850000 | elevation: 5 | rotation: 0 | admit year: 0 | admit mnth: 0 | admit day: 0 | asrc year: 0 | asrc mnth: 0 | asrc day: 0 | admit rfc: additionNew | retir year: 0 | retir mnth: 0 | retir day: 0 | rsrc year: 0 | rsrc mnth: 0 | rsrc day: 0 | x level: levelOne | x reason: AA | x capture: photogrammetric | bcgs tile: 092C092 | source id: 092C092TWTR6
Feature 176 from 'pub:WHSE_BASEMAPPING.TRIM_WATER_POINTS', located at approximately 48.9782°N, -125.6467°W. fcode: GE94850000 | elevation: 5 | rotation: 0 | admit year: 0 | admit mnth: 0 | admit day: 0 | asrc year: 0 | asrc mnth: 0 | asrc day: 0 | admit rfc: additionNew | retir year: 0 | retir mnth: 0 | retir day: 0 | rsrc year: 0 | rsrc mnth: 0 | rsrc day: 0 | x level: levelOne | x reason: AA | x capture: photogrammetric | bcgs tile: 092C092 | source id: 092C092TWTR13
